img,cls
dataset\airplanes\image_0559.jpg,airplanes
dataset\airplanes\image_0560.jpg,airplanes
dataset\airplanes\image_0561.jpg,airplanes
dataset\airplanes\image_0562.jpg,airplanes
dataset\airplanes\image_0563.jpg,airplanes
dataset\airplanes\image_0564.jpg,airplanes
dataset\airplanes\image_0565.jpg,airplanes
dataset\airplanes\image_0566.jpg,airplanes
dataset\airplanes\image_0567.jpg,airplanes
dataset\airplanes\image_0568.jpg,airplanes
dataset\airplanes\image_0569.jpg,airplanes
dataset\airplanes\image_0570.jpg,airplanes
dataset\airplanes\image_0571.jpg,airplanes
dataset\airplanes\image_0572.jpg,airplanes
dataset\airplanes\image_0573.jpg,airplanes
dataset\airplanes\image_0574.jpg,airplanes
dataset\airplanes\image_0575.jpg,airplanes
dataset\airplanes\image_0576.jpg,airplanes
dataset\airplanes\image_0577.jpg,airplanes
dataset\airplanes\image_0578.jpg,airplanes
dataset\airplanes\image_0579.jpg,airplanes
dataset\airplanes\image_0580.jpg,airplanes
dataset\airplanes\image_0581.jpg,airplanes
dataset\airplanes\image_0582.jpg,airplanes
dataset\airplanes\image_0583.jpg,airplanes
dataset\airplanes\image_0584.jpg,airplanes
dataset\airplanes\image_0585.jpg,airplanes
dataset\airplanes\image_0586.jpg,airplanes
dataset\airplanes\image_0587.jpg,airplanes
dataset\airplanes\image_0588.jpg,airplanes
dataset\airplanes\image_0589.jpg,airplanes
dataset\airplanes\image_0590.jpg,airplanes
dataset\airplanes\image_0591.jpg,airplanes
dataset\airplanes\image_0592.jpg,airplanes
dataset\airplanes\image_0593.jpg,airplanes
dataset\airplanes\image_0594.jpg,airplanes
dataset\airplanes\image_0595.jpg,airplanes
dataset\airplanes\image_0596.jpg,airplanes
dataset\airplanes\image_0597.jpg,airplanes
dataset\airplanes\image_0598.jpg,airplanes
dataset\airplanes\image_0599.jpg,airplanes
dataset\airplanes\image_0600.jpg,airplanes
dataset\airplanes\image_0601.jpg,airplanes
dataset\airplanes\image_0602.jpg,airplanes
dataset\airplanes\image_0603.jpg,airplanes
dataset\airplanes\image_0604.jpg,airplanes
dataset\airplanes\image_0605.jpg,airplanes
dataset\airplanes\image_0606.jpg,airplanes
dataset\airplanes\image_0607.jpg,airplanes
dataset\airplanes\image_0608.jpg,airplanes
dataset\airplanes\image_0609.jpg,airplanes
dataset\airplanes\image_0610.jpg,airplanes
dataset\airplanes\image_0611.jpg,airplanes
dataset\airplanes\image_0612.jpg,airplanes
dataset\airplanes\image_0613.jpg,airplanes
dataset\airplanes\image_0614.jpg,airplanes
dataset\airplanes\image_0615.jpg,airplanes
dataset\airplanes\image_0616.jpg,airplanes
dataset\airplanes\image_0617.jpg,airplanes
dataset\airplanes\image_0618.jpg,airplanes
dataset\airplanes\image_0619.jpg,airplanes
dataset\airplanes\image_0620.jpg,airplanes
dataset\airplanes\image_0621.jpg,airplanes
dataset\airplanes\image_0622.jpg,airplanes
dataset\airplanes\image_0623.jpg,airplanes
dataset\airplanes\image_0624.jpg,airplanes
dataset\airplanes\image_0625.jpg,airplanes
dataset\airplanes\image_0626.jpg,airplanes
dataset\airplanes\image_0627.jpg,airplanes
dataset\airplanes\image_0628.jpg,airplanes
dataset\airplanes\image_0629.jpg,airplanes
dataset\airplanes\image_0630.jpg,airplanes
dataset\airplanes\image_0631.jpg,airplanes
dataset\airplanes\image_0632.jpg,airplanes
dataset\airplanes\image_0633.jpg,airplanes
dataset\airplanes\image_0634.jpg,airplanes
dataset\airplanes\image_0635.jpg,airplanes
dataset\airplanes\image_0636.jpg,airplanes
dataset\airplanes\image_0637.jpg,airplanes
dataset\airplanes\image_0638.jpg,airplanes
dataset\airplanes\image_0639.jpg,airplanes
dataset\airplanes\image_0640.jpg,airplanes
dataset\airplanes\image_0641.jpg,airplanes
dataset\airplanes\image_0642.jpg,airplanes
dataset\airplanes\image_0643.jpg,airplanes
dataset\airplanes\image_0644.jpg,airplanes
dataset\airplanes\image_0645.jpg,airplanes
dataset\airplanes\image_0646.jpg,airplanes
dataset\airplanes\image_0647.jpg,airplanes
dataset\airplanes\image_0648.jpg,airplanes
dataset\airplanes\image_0649.jpg,airplanes
dataset\airplanes\image_0650.jpg,airplanes
dataset\airplanes\image_0651.jpg,airplanes
dataset\airplanes\image_0652.jpg,airplanes
dataset\airplanes\image_0653.jpg,airplanes
dataset\airplanes\image_0654.jpg,airplanes
dataset\airplanes\image_0655.jpg,airplanes
dataset\airplanes\image_0656.jpg,airplanes
dataset\airplanes\image_0657.jpg,airplanes
dataset\airplanes\image_0658.jpg,airplanes
dataset\airplanes\image_0659.jpg,airplanes
dataset\airplanes\image_0660.jpg,airplanes
dataset\airplanes\image_0661.jpg,airplanes
dataset\airplanes\image_0662.jpg,airplanes
dataset\airplanes\image_0663.jpg,airplanes
dataset\airplanes\image_0664.jpg,airplanes
dataset\airplanes\image_0665.jpg,airplanes
dataset\airplanes\image_0666.jpg,airplanes
dataset\airplanes\image_0667.jpg,airplanes
dataset\airplanes\image_0668.jpg,airplanes
dataset\airplanes\image_0669.jpg,airplanes
dataset\airplanes\image_0670.jpg,airplanes
dataset\airplanes\image_0671.jpg,airplanes
dataset\airplanes\image_0672.jpg,airplanes
dataset\airplanes\image_0673.jpg,airplanes
dataset\airplanes\image_0674.jpg,airplanes
dataset\airplanes\image_0675.jpg,airplanes
dataset\airplanes\image_0676.jpg,airplanes
dataset\airplanes\image_0677.jpg,airplanes
dataset\airplanes\image_0678.jpg,airplanes
dataset\airplanes\image_0679.jpg,airplanes
dataset\airplanes\image_0680.jpg,airplanes
dataset\airplanes\image_0681.jpg,airplanes
dataset\airplanes\image_0682.jpg,airplanes
dataset\airplanes\image_0683.jpg,airplanes
dataset\airplanes\image_0684.jpg,airplanes
dataset\airplanes\image_0685.jpg,airplanes
dataset\airplanes\image_0686.jpg,airplanes
dataset\airplanes\image_0687.jpg,airplanes
dataset\airplanes\image_0688.jpg,airplanes
dataset\airplanes\image_0689.jpg,airplanes
dataset\airplanes\image_0690.jpg,airplanes
dataset\airplanes\image_0691.jpg,airplanes
dataset\airplanes\image_0692.jpg,airplanes
dataset\airplanes\image_0693.jpg,airplanes
dataset\airplanes\image_0694.jpg,airplanes
dataset\airplanes\image_0695.jpg,airplanes
dataset\airplanes\image_0696.jpg,airplanes
dataset\airplanes\image_0697.jpg,airplanes
dataset\airplanes\image_0698.jpg,airplanes
dataset\airplanes\image_0699.jpg,airplanes
dataset\airplanes\image_0700.jpg,airplanes
dataset\airplanes\image_0701.jpg,airplanes
dataset\airplanes\image_0702.jpg,airplanes
dataset\airplanes\image_0703.jpg,airplanes
dataset\airplanes\image_0704.jpg,airplanes
dataset\airplanes\image_0705.jpg,airplanes
dataset\airplanes\image_0706.jpg,airplanes
dataset\airplanes\image_0707.jpg,airplanes
dataset\airplanes\image_0708.jpg,airplanes
dataset\airplanes\image_0709.jpg,airplanes
dataset\airplanes\image_0710.jpg,airplanes
dataset\airplanes\image_0711.jpg,airplanes
dataset\airplanes\image_0712.jpg,airplanes
dataset\airplanes\image_0713.jpg,airplanes
dataset\airplanes\image_0714.jpg,airplanes
dataset\airplanes\image_0715.jpg,airplanes
dataset\airplanes\image_0716.jpg,airplanes
dataset\airplanes\image_0717.jpg,airplanes
dataset\airplanes\image_0718.jpg,airplanes
dataset\airplanes\image_0719.jpg,airplanes
dataset\airplanes\image_0720.jpg,airplanes
dataset\airplanes\image_0721.jpg,airplanes
dataset\airplanes\image_0722.jpg,airplanes
dataset\airplanes\image_0723.jpg,airplanes
dataset\airplanes\image_0724.jpg,airplanes
dataset\airplanes\image_0725.jpg,airplanes
dataset\airplanes\image_0726.jpg,airplanes
dataset\airplanes\image_0727.jpg,airplanes
dataset\airplanes\image_0728.jpg,airplanes
dataset\airplanes\image_0729.jpg,airplanes
dataset\airplanes\image_0730.jpg,airplanes
dataset\airplanes\image_0731.jpg,airplanes
dataset\airplanes\image_0732.jpg,airplanes
dataset\airplanes\image_0733.jpg,airplanes
dataset\airplanes\image_0734.jpg,airplanes
dataset\airplanes\image_0735.jpg,airplanes
dataset\airplanes\image_0736.jpg,airplanes
dataset\airplanes\image_0737.jpg,airplanes
dataset\airplanes\image_0738.jpg,airplanes
dataset\airplanes\image_0739.jpg,airplanes
dataset\airplanes\image_0740.jpg,airplanes
dataset\airplanes\image_0741.jpg,airplanes
dataset\airplanes\image_0742.jpg,airplanes
dataset\airplanes\image_0743.jpg,airplanes
dataset\airplanes\image_0744.jpg,airplanes
dataset\airplanes\image_0745.jpg,airplanes
dataset\airplanes\image_0746.jpg,airplanes
dataset\airplanes\image_0747.jpg,airplanes
dataset\airplanes\image_0748.jpg,airplanes
dataset\airplanes\image_0749.jpg,airplanes
dataset\airplanes\image_0750.jpg,airplanes
dataset\airplanes\image_0751.jpg,airplanes
dataset\airplanes\image_0752.jpg,airplanes
dataset\airplanes\image_0753.jpg,airplanes
dataset\airplanes\image_0754.jpg,airplanes
dataset\airplanes\image_0755.jpg,airplanes
dataset\airplanes\image_0756.jpg,airplanes
dataset\airplanes\image_0757.jpg,airplanes
dataset\airplanes\image_0758.jpg,airplanes
dataset\airplanes\image_0759.jpg,airplanes
dataset\airplanes\image_0760.jpg,airplanes
dataset\airplanes\image_0761.jpg,airplanes
dataset\airplanes\image_0762.jpg,airplanes
dataset\airplanes\image_0763.jpg,airplanes
dataset\airplanes\image_0764.jpg,airplanes
dataset\airplanes\image_0765.jpg,airplanes
dataset\airplanes\image_0766.jpg,airplanes
dataset\airplanes\image_0767.jpg,airplanes
dataset\airplanes\image_0768.jpg,airplanes
dataset\airplanes\image_0769.jpg,airplanes
dataset\airplanes\image_0770.jpg,airplanes
dataset\airplanes\image_0771.jpg,airplanes
dataset\airplanes\image_0772.jpg,airplanes
dataset\airplanes\image_0773.jpg,airplanes
dataset\airplanes\image_0774.jpg,airplanes
dataset\airplanes\image_0775.jpg,airplanes
dataset\airplanes\image_0776.jpg,airplanes
dataset\airplanes\image_0777.jpg,airplanes
dataset\airplanes\image_0778.jpg,airplanes
dataset\airplanes\image_0779.jpg,airplanes
dataset\airplanes\image_0780.jpg,airplanes
dataset\airplanes\image_0781.jpg,airplanes
dataset\airplanes\image_0782.jpg,airplanes
dataset\airplanes\image_0783.jpg,airplanes
dataset\airplanes\image_0784.jpg,airplanes
dataset\airplanes\image_0785.jpg,airplanes
dataset\airplanes\image_0786.jpg,airplanes
dataset\airplanes\image_0787.jpg,airplanes
dataset\airplanes\image_0788.jpg,airplanes
dataset\airplanes\image_0789.jpg,airplanes
dataset\airplanes\image_0790.jpg,airplanes
dataset\airplanes\image_0791.jpg,airplanes
dataset\airplanes\image_0792.jpg,airplanes
dataset\airplanes\image_0793.jpg,airplanes
dataset\airplanes\image_0794.jpg,airplanes
dataset\airplanes\image_0795.jpg,airplanes
dataset\airplanes\image_0796.jpg,airplanes
dataset\airplanes\image_0797.jpg,airplanes
dataset\airplanes\image_0798.jpg,airplanes
dataset\airplanes\image_0799.jpg,airplanes
dataset\airplanes\image_0800.jpg,airplanes
